Datum;B;K;Nö;Oö;S;St;T;V;W;Bundesweit
26.02.;0;0;0;0;0;0;2;0;0;2
27.02.;0;0;0;0;0;0;2;0;0;2
28.02.;0;0;0;0;0;0;2;0;2;4
29.02.;0;0;0;0;0;0;2;0;3;5
01.03.;0;0;2;0;1;1;2;0;4;10
02.03.;0;0;2;0;1;1;2;0;4;10
03.03.;0;0;2;0;2;3;2;0;9;18
04.03.;0;0;5;0;3;4;2;0;15;29
05.03.;0;1;12;0;4;4;3;1;16;41
06.03.;0;1;15;1;5;5;4;1;23;55
07.03.;4;1;23;4;5;6;7;1;28;79
08.03.;4;1;31;7;7;8;8;1;32;99
09.03.;4;1;36;11;9;16;16;3;35;131
10.03.;4;1;40;22;12;17;32;11;43;182
11.03.;4;3;45;35;14;25;57;13;50;246
12.03.;6;3;51;58;19;33;109;16;66;361
13.03.;7;4;63;84;23;52;167;22;82;504
14.03.;10;5;82;116;30;71;206;34;101;655
15.03.;10;6;111;159;39;111;254;48;122;860
16.03.;10;18;152;202;58;139;254;55;128;1016
17.03.;11;27;216;248;66;171;328;99;166;1332
18.03.;20;41;256;305;89;220;382;124;209;1646
19.03.;29;50;305;371;127;282;464;151;234;2013
20.03.;33;71;355;421;167;340;508;197;296;2388
21.03.;54;83;394;548;185;388;575;228;359;2814
22.03.;63;105;446;628;269;423;644;263;403;3244
23.03.;71;122;564;707;372;486;803;323;476;3924
24.03.;84;141;620;795;429;558;1253;379;617;4876
25.03.;89;161;750;915;516;627;1393;407;702;5560
26.03.;115;183;873;1054;591;699;1623;435;825;6398
27.03.;138;202;1140;1217;687;759;1752;501;1003;7399
28.03.;142;221;1262;1332;751;828;1846;549;1046;7995
29.03.;159;239;1350;1451;798;915;1944;579;1101;8536
30.03.;179;261;1533;1535;855;958;2205;616;1235;9377
31.03.;182;273;1616;1596;911;1049;2323;646;1378;9974
01.04.;188;293;1685;1671;955;1113;2414;666;1497;10482
